Fecha,LugarAccidente,Operador,OrigenDestino,TipoAeronave,TotalAbordo,TripulacionAbordo,PasajerosAbordo,TotalFallecidos,TripulacionFallecida,PasajerosFallecidos,FallecidosEnTierra,Longitud,Latitud
1916-11-28 00:00:00," West Hartlepool, England",Military - German Navy,Sin dato,Zeppelin L-34 (airship),20,0,0,20,0,0,0,-1.207832,54.6868261
1917-03-04 00:00:00," Gent, Belgium",Military - German Army,Sin dato,Airship,20,0,0,20,0,0,0,3.7250121,51.0538286
1917-03-30 00:00:00, Northern Germany,Military - German Navy,Sin dato,Schutte-Lanz S-L-9 (airship),23,0,0,23,0,0,0,3.7250121,51.0538286
1917-05-14 00:00:00," Texel Island, North Sea",Military - German Navy,Sin dato,Zeppelin L-22 (airship),21,0,0,21,0,0,0,2.8911717166880475,56.74123355
1917-06-14 00:00:00," Vlieland Island, North Sea",Military - German Navy,Sin dato,Zeppelin L-43 (airship),24,0,0,24,0,0,0,2.8911717166880475,56.74123355
1917-06-17 00:00:00," Yarmouth, England",Sin dato,Sin dato,Zepplin L-48 (air ship),16,0,0,14,0,0,0,1.7314845,52.6071742
1917-08-21 00:00:00, western Denmark,Military - German Navy,Sin dato,Zeppelin L-23 (airship),18,0,0,18,0,0,0,1.7314845,52.6071742
1917-10-20 00:00:00," Luneville, France",Military - German Navy,Sin dato,Zeppelin L-44 (airship),18,0,0,18,0,0,0,6.4919563,48.5916164
1918-04-07 00:00:00,Over the Mediterranean,Military - German Navy,Sin dato,Zeppelin L-59 (airship),23,0,0,23,0,0,0,6.4919563,48.5916164
1918-08-05 00:00:00," Helgoland Island, Germany",Military - German Navy,Sin dato,Zeppelin L-70 (airship),22,0,0,22,0,0,0,7.885362101180695,54.18004525
1918-08-11 00:00:00,"Ameland Island, North Sea",Military - German Navy,Sin dato,Zeppelin L-53 (airship),19,0,0,19,0,0,0,2.8911717166880475,56.74123355
